pu_invitefriend_btn_SelectAll,Select All,Chọn hết,,全て選択する,
pu_invitefriend_btn_DeselectAll,Deselect All,Bỏ chọn hết,,全て削除する,
pu_invitefriend_btn_Send,Send,Mời,,送信する,
pu_invitefriend_searchtext,Search…,Tìm bạn…,,検索する…,
pu_share_title,Share Facebook,Share Facebook,,Facebookで共有する,
pu_share_message,Enter your message here,Bạn muốn nhắn nhủ thêm gì không?,,ここにメッセージを入力してください,
pu_share_button,Share,Gửi,,共有する,
pu_songunlocked,New unlocked songs,Bài hát mới,,新しい曲,
setting_scene_login,Log in,Đăng nhập,,ログインする,
setting_scene_logout,Log out,Đăng xuất,,ログアウトする,
maingame_downloading,Downloading song's data…,Đang tải bài hát…,,曲データをダウンロードする…,
maingame_preparing,Preparing level data…,Đang chuẩn bị màn chơi…,,レベル データを準備しています…,
maingame_highscore,High score,Kỉ lục,,ハイスコア,
maingame_autoplaysong,Listen,Nghe thử,,この曲を聴く,
ach_getusetoit,Getting used to it,Rồi cũng sẽ quen,,慣れてきました,
ach_getusetoit_des,Hit 10.000 tiles,Ăn 10.000 ô,,10000枚のタイルをヒットしましょう,
ach_imok,I'm OK,Tạm ổn,,大丈夫です,
ach_imok_des,Hit 100.000 tiles,Ăn 100.000 ô,,100000枚のタイルをヒットしましょう,
ach_icantstop,I can't stop,Không dừng được,,止められません,
ach_icantstop_des,Hit 1.000.000,Ăn 1.000.000 ô,,1000000枚のタイルをヒットしましょう,
ach_ouch,Ouch!!!,Uiiiii!!!!!!!!,,しまった!!!,
ach_ouch_des,Miss 500 times,Ấn hụt 500 lần,,500回外してしまいました,
ach_ithurts,It hurts!!!,Đau nhé!,,残念です!!!,
ach_ithurts_des,Miss 5.000 times,Ấn hụt 5.000 lần,,5000回外してしまいました,
ach_nothingcanhurt,Nothing can hurt me now!,Không đau vì quá đau,,誰も私を止められません！,
ach_nothingcanhurt_des,Miss 50.000 times,Ấn hụt 50.000 lần,,50000回外してしまいました,
ach_playalot,Play a lot,Chơi cho vui,,沢山遊びましょう,
ach_playalot_des,Play 1.000 times,Chơi 1.000 lần,,1000回遊びましょう,
ach_addictive,Addictive!,Nghiện rồi!,,止められません!,
ach_addictice_des,Play 5.000 times,Chơi 5.000 lần,,5000回遊びましょう,
ach_littlestar,Little star,Ngôi sao nhỏ,,リトルスター,
ach_littlestar_des,Get 3 stars five times,Đạt 3 sao 5 lần,,５回、３つ星を取得しましょう,
ach_stardust,Stardust,Ngôi sao đang lên,,スターダスト,
ach_stardust_des,Get 3 stars fifty times,Đạt 3 sao 50 lần,,５０回、３つ星を取得しましょう,
ach_milkyway,Milky way,Dải ngân hà,,ミルキーウェイ,
ach_milkyway_des,Get 3 stars a thousand times,Đạt 3 sao 1.000 lần,,１０００回、３つ星を取得しましょう,
ach_casualgamer,Casual gamer,Tay ngang,,カジュアル ゲーマー,
ach_casualgamer_des,Get 3 crowns five times,Đạt 3 vương miện 5 lần,,３つの王冠を５回取得しましょう,
ach_progamer,Pro gamer,Chuyên nghiệp,,プロ ゲーマー,
ach_progamer_des,Get 3 crowns fifty times,Đạt 3 vương miện 50 lần,,３つの王冠を５０回取得しましょう,
ach_godlike,Godlike,Thần thánh!,,神ゲーマー,
ach_godlike_des,Get 3 crowns a thousand times,Đạt 3 vương miện 1.000 lần,,３つの王冠を１０００回取得しましょう,
er_download_version_failed,"Either your Internet connection is down, or the game version data is corrupted. Please try again",Có lỗi khi lấy thông tin phiên bản từ máy chủ. Vui lòng kiểm tra kết nối Internet và thử lại.,,「インターネットに接続されていないか、ゲームバージョンのデータが破損しています。もう一度お試しください」,
er_download_localization_failed,"Either your Internet connection is down, or the game localization data is corrupted. Please try again",Có lỗi khi lấy gói ngôn ngữ từ máy chủ. Vui lòng kiểm tra kết nối Internet và thử lại.,,「インターネットに接続されていないか、ゲーム ローカライゼーション データが破損しています。もう一度お試しください」,
er_download_config_failed,"Either your Internet connection is down, or the game config data is corrupted. Please try again",Có lỗi khi lấy thông tin cài đặt từ máy chủ. Vui lòng kiểm tra kết nối Internet và thử lại.,,「インターネットに接続されていないか、ゲーム環境設定データが破損しています。もう一度お試しください」,
er_download_ach_failed,"Either your Internet connection is down, or the game achievement data is corrupted. Please try again",Có lỗi khi lấy thông tin nhiệm vụ từ máy chủ. Vui lòng kiểm tra kết nối Internet và thử lại.,,「インターネットに接続されていないか、ゲーム アチーブメント データが破損しています。もう一度お試しください」,
er_download_userdata_failed,"Either your Internet connection is down, or your user data is corrupted. Please try again",Có lỗi khi lấy dữ liệu từ máy chủ. Vui lòng kiểm tra kết nối Internet và thử lại.,,「インターネットに接続されていないか、ユーザーデータが破損しています。もう一度お試しください」,
er_download_storedata_failed,"Either your Internet connection is down, or the game data is corrupted. Please try again",Có lỗi khi lấy dữ liệu game từ máy chủ. Vui lòng kiểm tra kết nối Internet và thử lại.,,「インターネットに接続されていないか、ゲーム データが破損しています。もう一度お試しください」,
er_download_unexpected_failed,Unexpected error has occurred. Please report so that we can fix it as soon as possible. We're really sorry for your inconvenience,Lỗi không mong muốn đã xảy ra trong quá trình khởi tạo game. Vui lòng báo cho bộ phận phát triển để chúng tôi có thể sửa lỗi nhanh nhất có thể.,,原因不明のデータが発生しました。当社で迅速に問題解決するために、問題の報告をしていただけますと幸いでございます。ご協力ありがとうございます。,
er_download_song_failed,"Error downloading song data, please connect to the Internet and try again","Không tải được dữ liệu bài hát, vui lòng kiểm tra kết nối Internet và thử lại sau.",,「曲データをダウンロードする際にエラーが発生しました。インターネットに接続してから、もう一度お試し下さい」,
er_parse_song_failed,"Error trying to parse song data. This is embarrassing, but if this error repeat itself, please report so that we can fix it. We’re really sorry for your inconvenience","Không đọc được thông tin của bài hát. Nếu lỗi này tái hiện nhiều lần, vui lòng báo lại cho bộ phận phát triển để chúng tôi khắc phục lỗi nhanh nhất có thể.",,「曲データを取得する際にエラーが発生しました。もしこの問題が繰り返し発生するようでしたら、お手数ですが当社にご報告いただけると幸いでございます。迅速に対応させていただきます。ご協力ありがとうございます」,
loading_online,Loading...,Đang xử lý,,Loading...,
exit_online,Exit,Thoát,,Exit,
play_online,Go Go!!!,Zô zô!!!,,Go Go!!!,
182,require ,cần có ,,require ,
183," rubies each time challenge, winner will get all."," Kim cương để có thể chơi online, ai thắng sẽ hốt hết tất cả",," Diamonds each time challenge, winner will get all.",
184,Waiting for more player...,Đợi chút xíu để thêm người chiến nha...,,Waiting for more player...,
185,You Can Start Room or auto play in,Bạn có thể chiến ngay lập tức hoặc đợi trong ,,You Can Start Room or auto play in,
186,Room will start in,Cuộc chiến sẽ diễn ra trong ,,Room will start in,
187,Connection Error,Lỗi kết nối rồi,,Connection Error,
188,Server Disconnect,Mất kết nối với server rồi nha,,Server Disconnect,
189,Room can not start due to not enough player in ready,Không thể chiến vì thiếu người. Ai đó đã bị mất kết nối rồi,,Room can not start due to not enough player in ready,
190,You have out of room,Bạn bị văng khỏi phòng rồi,,You have out of room,
191,Update Score...,Đang cập nhật điểm của mọi người...,,Update Score...,
192,Game Finish,Kết quả,,Game Finish,
193,"Server is maintain now, please try again later","Sever đang được bảo trì, vui lòng thử lại sau",,"Server is maintain now, please try again later",
194,Earn rubies by defeating other players,Kiếm ruby bằng cách đánh bại người chơi khác,,Earn rubies by defeating other players,
195," Disconnect with server, return your Ruby.",Mất kết nối với server. hoàn lại ruby của bạn,," Disconnect with server, return your Ruby.",
196,Watting for all player ready,Đợi cho tất cả người chơi sẵn sàng,,Watting for all player ready,
197,Waiting...,Đang đợi...,,Waiting...,
198,Send,Gửi,,Send,
199,Start,Ngôi sao tí hon,,Start,
200,Play and achieve 3 stars in any song,Đạt 3 sao trong 1 bài hát bất kỳ,,Play and achieve 3 stars in any song,
201,Piano Practicer,Piano Practicer,,Piano Practicer,
202,Play any songs 3 times,Chơi 3 bài hát bất kỳ,,Play any songs 3 times,
203,Crown Achiever,Vương miện vàng,,Crown Achiever,
204,Play and achieve 3 crowns in any song,Đạt 3 vương miện trong 1 bài bất kỳ,,Play and achieve 3 crowns in any song,
205,Diamond Picker,Sưu tầm kim cương,,Diamond Picker,
206,Play songs and pick 3 diamonds,Chơi các bài hát và lấy kim cương khi đang chơi,,Play songs and pick 3 diamonds,
207,Quest Champion,Người năng nổ,,Quest Champion,
208,Complete all daily quest today,Hoàn thành hết nhiệm vụ hàng ngày,,Complete all daily quest today,
209,Listen to music,Cảm nhận giai điệu,,Listen to music,
210,Listen to a random song,Nghe thử một bài bất kỳ,,Listen to a random song,
211,Watch Video,Xem quảng cáo,,Watch Video,
212,Watch reward video once,Xem 1 lần quảng cáo video,,Watch reward video once,
213,My Friend,Tôi và đồng bọn,,My Friend,
214,Invite friends via Facebook,mời bạn từ Faccebook,,Invite friends via Facebook,
215,"More Songs, plz...",Địa chủ,,"More Songs, plz...",
216,Unlock 10 songs,sở hữu 10 bài hát,,Unlock 10 songs,
217,Can't Stop!!!,Phú hào,,Can't Stop!!!,
218,Unlock 30 songs,sở hữu 30 bài hát,,Unlock 30 songs,
219,I'm millionare!!!,Quý tộc,,I'm millionare!!!,
220,Unlock 50 songs,sở hữu 50 bài hát,,Unlock 50 songs,
221,Stop me!!! If u can..,Vô đối Tha Thu,,Stop me!!! If u can..,
222,Unlock 100 songs,sở hữu 100 bài hát,,Unlock 100 songs,
223,I love music,Âm nhạc thật tuyệt vời,,I love music,
224,Check out our new game,tải thêm một game nhạc mới nào,,Check out our new game,
225,You,Bạn,,You,
226,s,giây,,s,
227,Get 10 Diamonds,Nhận 10 kim cương,,無料でダイヤモンドを取得しましょう,
228,Revenge,Phục thù,,Revenge,
229,Oops! The previous fellows started the game without you. Please join another room.,Rất tiếc! Các tay chơi đã bắt đầu mà không có bạn. Hãy tham gia phòng khác nào.,,Oops! The previous fellows started the game without you. Please join another room.,
230,A Room of the same player will be created after this game end,Phòng sẽ được tạo ra khi tất cả người chơi hoàn thành game này,,A Room of the same player will be created after this game end,
231,Room full,Room full,,Room full,
232,Oops! The previous fellows started the game without you. Please join another room.,Rất tiếc! Các tay chơi đã bắt đầu mà không có bạn. Hãy tham gia phòng khác nào.,,Room started,
233,Need update,Need update,,Need update,
234,Let's Roll,Tải ngay & luôn,,Let's Roll,
235,FREE - 69000+ played this,Miễn phí - 69000 người chơi,,FREE - 69000+ played this,
236,Tap Tap Revenge is back!,Tap Tap Revenge đã trở lại,,Tap Tap Revenge is back!,
237,Real piano simulation,âm thanh piano sống động,,Real piano simulation,
238,Just one tap to feel the beat,chỉ cần 1 Tap để cảm nhận âm nhạc,,Just one tap to feel the beat,
239,More instruments,Hãy cảm nhận giai điệu đa nhạc cụ,,More instruments,
